group	colour	x	y	key
1	#F8766D	0	42	1
1	#F8766D	2	51	1
1	#F8766D	4	59	1
1	#F8766D	6	64	1
1	#F8766D	8	76	1
1	#F8766D	10	93	1
1	#F8766D	12	106	1
1	#F8766D	14	125	1
1	#F8766D	16	149	1
1	#F8766D	18	171	1
1	#F8766D	20	199	1
1	#F8766D	21	205	1
2	#F8766D	0	41	10
2	#F8766D	2	44	10
2	#F8766D	4	52	10
2	#F8766D	6	63	10
2	#F8766D	8	74	10
2	#F8766D	10	81	10
2	#F8766D	12	89	10
2	#F8766D	14	96	10
2	#F8766D	16	101	10
2	#F8766D	18	112	10
2	#F8766D	20	120	10
2	#F8766D	21	124	10
3	#F8766D	0	43	11
3	#F8766D	2	51	11
3	#F8766D	4	63	11
3	#F8766D	6	84	11
3	#F8766D	8	112	11
3	#F8766D	10	139	11
3	#F8766D	12	168	11
3	#F8766D	14	177	11
3	#F8766D	16	182	11
3	#F8766D	18	184	11
3	#F8766D	20	181	11
3	#F8766D	21	175	11
4	#F8766D	0	41	12
4	#F8766D	2	49	12
4	#F8766D	4	56	12
4	#F8766D	6	62	12
4	#F8766D	8	72	12
4	#F8766D	10	88	12
4	#F8766D	12	119	12
4	#F8766D	14	135	12
4	#F8766D	16	162	12
4	#F8766D	18	185	12
4	#F8766D	20	195	12
4	#F8766D	21	205	12
5	#F8766D	0	41	13
5	#F8766D	2	48	13
5	#F8766D	4	53	13
5	#F8766D	6	60	13
5	#F8766D	8	65	13
5	#F8766D	10	67	13
5	#F8766D	12	71	13
5	#F8766D	14	70	13
5	#F8766D	16	71	13
5	#F8766D	18	81	13
5	#F8766D	20	91	13
5	#F8766D	21	96	13
6	#F8766D	0	41	14
6	#F8766D	2	49	14
6	#F8766D	4	62	14
6	#F8766D	6	79	14
6	#F8766D	8	101	14
6	#F8766D	10	128	14
6	#F8766D	12	164	14
6	#F8766D	14	192	14
6	#F8766D	16	227	14
6	#F8766D	18	248	14
6	#F8766D	20	259	14
6	#F8766D	21	266	14
7	#F8766D	0	41	15
7	#F8766D	2	49	15
7	#F8766D	4	56	15
7	#F8766D	6	64	15
7	#F8766D	8	68	15
7	#F8766D	10	68	15
7	#F8766D	12	67	15
7	#F8766D	14	68	15
8	#F8766D	0	41	16
8	#F8766D	2	45	16
8	#F8766D	4	49	16
8	#F8766D	6	51	16
8	#F8766D	8	57	16
8	#F8766D	10	51	16
8	#F8766D	12	54	16
9	#F8766D	0	42	17
9	#F8766D	2	51	17
9	#F8766D	4	61	17
9	#F8766D	6	72	17
9	#F8766D	8	83	17
9	#F8766D	10	89	17
9	#F8766D	12	98	17
9	#F8766D	14	103	17
9	#F8766D	16	113	17
9	#F8766D	18	123	17
9	#F8766D	20	133	17
9	#F8766D	21	142	17
10	#F8766D	0	39	18
10	#F8766D	2	35	18
11	#F8766D	0	43	19
11	#F8766D	2	48	19
11	#F8766D	4	55	19
11	#F8766D	6	62	19
11	#F8766D	8	65	19
11	#F8766D	10	71	19
11	#F8766D	12	82	19
11	#F8766D	14	88	19
11	#F8766D	16	106	19
11	#F8766D	18	120	19
11	#F8766D	20	144	19
11	#F8766D	21	157	19
12	#F8766D	0	40	2
12	#F8766D	2	49	2
12	#F8766D	4	58	2
12	#F8766D	6	72	2
12	#F8766D	8	84	2
12	#F8766D	10	103	2
12	#F8766D	12	122	2
12	#F8766D	14	138	2
12	#F8766D	16	162	2
12	#F8766D	18	187	2
12	#F8766D	20	209	2
12	#F8766D	21	215	2
13	#F8766D	0	41	20
13	#F8766D	2	47	20
13	#F8766D	4	54	20
