group	x	y	key	showSelected1
1	0	42	1	1
1	2	51	1	1
1	4	59	1	1
1	6	64	1	1
1	8	76	1	1
1	10	93	1	1
1	12	106	1	1
1	14	125	1	1
1	16	149	1	1
1	18	171	1	1
1	20	199	1	1
1	21	205	1	1
2	0	41	10	10
2	2	44	10	10
2	4	52	10	10
2	6	63	10	10
2	8	74	10	10
2	10	81	10	10
2	12	89	10	10
2	14	96	10	10
2	16	101	10	10
2	18	112	10	10
2	20	120	10	10
2	21	124	10	10
3	0	43	11	11
3	2	51	11	11
3	4	63	11	11
3	6	84	11	11
3	8	112	11	11
3	10	139	11	11
3	12	168	11	11
3	14	177	11	11
3	16	182	11	11
3	18	184	11	11
3	20	181	11	11
3	21	175	11	11
4	0	41	12	12
4	2	49	12	12
4	4	56	12	12
4	6	62	12	12
4	8	72	12	12
4	10	88	12	12
4	12	119	12	12
4	14	135	12	12
4	16	162	12	12
4	18	185	12	12
4	20	195	12	12
4	21	205	12	12
5	0	41	13	13
5	2	48	13	13
5	4	53	13	13
5	6	60	13	13
5	8	65	13	13
5	10	67	13	13
5	12	71	13	13
5	14	70	13	13
5	16	71	13	13
5	18	81	13	13
5	20	91	13	13
5	21	96	13	13
6	0	41	14	14
6	2	49	14	14
6	4	62	14	14
6	6	79	14	14
6	8	101	14	14
6	10	128	14	14
6	12	164	14	14
6	14	192	14	14
6	16	227	14	14
6	18	248	14	14
6	20	259	14	14
6	21	266	14	14
7	0	41	15	15
7	2	49	15	15
7	4	56	15	15
7	6	64	15	15
7	8	68	15	15
7	10	68	15	15
7	12	67	15	15
7	14	68	15	15
8	0	41	16	16
8	2	45	16	16
8	4	49	16	16
8	6	51	16	16
8	8	57	16	16
8	10	51	16	16
8	12	54	16	16
9	0	42	17	17
9	2	51	17	17
9	4	61	17	17
9	6	72	17	17
9	8	83	17	17
9	10	89	17	17
9	12	98	17	17
9	14	103	17	17
9	16	113	17	17
9	18	123	17	17
9	20	133	17	17
9	21	142	17	17
10	0	39	18	18
10	2	35	18	18
11	0	43	19	19
11	2	48	19	19
11	4	55	19	19
11	6	62	19	19
11	8	65	19	19
11	10	71	19	19
11	12	82	19	19
11	14	88	19	19
11	16	106	19	19
11	18	120	19	19
11	20	144	19	19
11	21	157	19	19
12	0	40	2	2
12	2	49	2	2
12	4	58	2	2
12	6	72	2	2
12	8	84	2	2
12	10	103	2	2
12	12	122	2	2
12	14	138	2	2
12	16	162	2	2
12	18	187	2	2
12	20	209	2	2
12	21	215	2	2
13	0	41	20	20
13	2	47	20	20
13	4	54	20	20
13	6	58	20	20
13	8	65	20	20
13	10	73	20	20
13	12	77	20	20
13	14	89	20	20
13	16	98	20	20
13	18	107	20	20
13	20	115	20	20
13	21	117	20	20
14	0	40	21	21
14	2	50	21	21
14	4	62	21	21
14	6	86	21	21
14	8	125	21	21
14	10	163	21	21
14	12	217	21	21
14	14	240	21	21
14	16	275	21	21
14	18	307	21	21
14	20	318	21	21
14	21	331	21	21
15	0	41	22	22
15	2	55	22	22
15	4	64	22	22
15	6	77	22	22
15	8	90	22	22
15	10	95	22	22
15	12	108	22	22
15	14	111	22	22
15	16	131	22	22
15	18	148	22	22
15	20	164	22	22
15	21	167	22	22
16	0	43	23	23
16	2	52	23	23
16	4	61	23	23
16	6	73	23	23
16	8	90	23	23
16	10	103	23	23
16	12	127	23	23
16	14	135	23	23
16	16	145	23	23
16	18	163	23	23
16	20	170	23	23
16	21	175	23	23
17	0	42	24	24
17	2	52	24	24
17	4	58	24	24
17	6	74	24	24
17	8	66	24	24
17	10	68	24	24
17	12	70	24	24
17	14	71	24	24
17	16	72	24	24
17	18	72	24	24
17	20	76	24	24
17	21	74	24	24
18	0	40	25	25
18	2	49	25	25
18	4	62	25	25
18	6	78	25	25
18	8	102	25	25
18	10	124	25	25
18	12	146	25	25
18	14	164	25	25
18	16	197	25	25
18	18	231	25	25
18	20	259	25	25
18	21	265	25	25
19	0	42	26	26
19	2	48	26	26
19	4	57	26	26
19	6	74	26	26
19	8	93	26	26
19	10	114	26	26
19	12	136	26	26
19	14	147	26	26
19	16	169	26	26
19	18	205	26	26
19	20	236	26	26
19	21	251	26	26
20	0	39	27	27
20	2	46	27	27
20	4	58	27	27
20	6	73	27	27
20	8	87	27	27
20	10	100	27	27
20	12	115	27	27
20	14	123	27	27
20	16	144	27	27
20	18	163	27	27
20	20	185	27	27
20	21	192	27	27
21	0	39	28	28
21	2	46	28	28
21	4	58	28	28
21	6	73	28	28
21	8	92	28	28
21	10	114	28	28
21	12	145	28	28
21	14	156	28	28
21	16	184	28	28
21	18	207	28	28
21	20	212	28	28
21	21	233	28	28
22	0	39	29	29
22	2	48	29	29
22	4	59	29	29
22	6	74	29	29
22	8	87	29	29
22	10	106	29	29
22	12	134	29	29
22	14	150	29	29
22	16	187	29	29
22	18	230	29	29
22	20	279	29	29
22	21	309	29	29
23	0	43	3	3
23	2	39	3	3
23	4	55	3	3
23	6	67	3	3
23	8	84	3	3
23	10	99	3	3
23	12	115	3	3
23	14	138	3	3
23	16	163	3	3
23	18	187	3	3
23	20	198	3	3
23	21	202	3	3
24	0	42	30	30
24	2	48	30	30
24	4	59	30	30
24	6	72	30	30
24	8	85	30	30
24	10	98	30	30
24	12	115	30	30
24	14	122	30	30
24	16	143	30	30
24	18	151	30	30
24	20	157	30	30
24	21	150	30	30
25	0	42	31	31
25	2	53	31	31
25	4	62	31	31
25	6	73	31	31
25	8	85	31	31
25	10	102	31	31
25	12	123	31	31
25	14	138	31	31
25	16	170	31	31
25	18	204	31	31
25	20	235	31	31
25	21	256	31	31
26	0	41	32	32
26	2	49	32	32
26	4	65	32	32
26	6	82	32	32
26	8	107	32	32
26	10	129	32	32
26	12	159	32	32
26	14	179	32	32
26	16	221	32	32
26	18	263	32	32
26	20	291	32	32
26	21	305	32	32
27	0	39	33	33
27	2	50	33	33
27	4	63	33	33
27	6	77	33	33
27	8	96	33	33
27	10	111	33	33
27	12	137	33	33
27	14	144	33	33
27	16	151	33	33
27	18	146	33	33
27	20	156	33	33
27	21	147	33	33
28	0	41	34	34
28	2	49	34	34
28	4	63	34	34
28	6	85	34	34
28	8	107	34	34
28	10	134	34	34
28	12	164	34	34
28	14	186	34	34
28	16	235	34	34
28	18	294	34	34
28	20	327	34	34
28	21	341	34	34
29	0	41	35	35
29	2	53	35	35
29	4	64	35	35
29	6	87	35	35
29	8	123	35	35
29	10	158	35	35
29	12	201	35	35
29	14	238	35	35
29	16	287	35	35
29	18	332	35	35
29	20	361	35	35
29	21	373	35	35
30	0	39	36	36
30	2	48	36	36
30	4	61	36	36
