colour	x	y	key	clickSelects	showSelected1	fill
#7CAE00	0	40	21	21	0	#7CAE00
#7CAE00	2	50	21	21	2	#7CAE00
#7CAE00	4	62	21	21	4	#7CAE00
#7CAE00	6	86	21	21	6	#7CAE00
#7CAE00	8	125	21	21	8	#7CAE00
#7CAE00	10	163	21	21	10	#7CAE00
#7CAE00	12	217	21	21	12	#7CAE00
#7CAE00	14	240	21	21	14	#7CAE00
#7CAE00	16	275	21	21	16	#7CAE00
#7CAE00	18	307	21	21	18	#7CAE00
#7CAE00	20	318	21	21	20	#7CAE00
#7CAE00	21	331	21	21	21	#7CAE00
#7CAE00	0	41	22	22	0	#7CAE00
#7CAE00	2	55	22	22	2	#7CAE00
#7CAE00	4	64	22	22	4	#7CAE00
#7CAE00	6	77	22	22	6	#7CAE00
#7CAE00	8	90	22	22	8	#7CAE00
#7CAE00	10	95	22	22	10	#7CAE00
#7CAE00	12	108	22	22	12	#7CAE00
#7CAE00	14	111	22	22	14	#7CAE00
#7CAE00	16	131	22	22	16	#7CAE00
#7CAE00	18	148	22	22	18	#7CAE00
#7CAE00	20	164	22	22	20	#7CAE00
#7CAE00	21	167	22	22	21	#7CAE00
#7CAE00	0	43	23	23	0	#7CAE00
#7CAE00	2	52	23	23	2	#7CAE00
#7CAE00	4	61	23	23	4	#7CAE00
#7CAE00	6	73	23	23	6	#7CAE00
#7CAE00	8	90	23	23	8	#7CAE00
#7CAE00	10	103	23	23	10	#7CAE00
#7CAE00	12	127	23	23	12	#7CAE00
#7CAE00	14	135	23	23	14	#7CAE00
#7CAE00	16	145	23	23	16	#7CAE00
#7CAE00	18	163	23	23	18	#7CAE00
#7CAE00	20	170	23	23	20	#7CAE00
#7CAE00	21	175	23	23	21	#7CAE00
#7CAE00	0	42	24	24	0	#7CAE00
#7CAE00	2	52	24	24	2	#7CAE00
#7CAE00	4	58	24	24	4	#7CAE00
#7CAE00	6	74	24	24	6	#7CAE00
#7CAE00	8	66	24	24	8	#7CAE00
#7CAE00	10	68	24	24	10	#7CAE00
#7CAE00	12	70	24	24	12	#7CAE00
#7CAE00	14	71	24	24	14	#7CAE00
#7CAE00	16	72	24	24	16	#7CAE00
#7CAE00	18	72	24	24	18	#7CAE00
#7CAE00	20	76	24	24	20	#7CAE00
#7CAE00	21	74	24	24	21	#7CAE00
#7CAE00	0	40	25	25	0	#7CAE00
#7CAE00	2	49	25	25	2	#7CAE00
#7CAE00	4	62	25	25	4	#7CAE00
#7CAE00	6	78	25	25	6	#7CAE00
#7CAE00	8	102	25	25	8	#7CAE00
#7CAE00	10	124	25	25	10	#7CAE00
#7CAE00	12	146	25	25	12	#7CAE00
#7CAE00	14	164	25	25	14	#7CAE00
#7CAE00	16	197	25	25	16	#7CAE00
#7CAE00	18	231	25	25	18	#7CAE00
#7CAE00	20	259	25	25	20	#7CAE00
#7CAE00	21	265	25	25	21	#7CAE00
#7CAE00	0	42	26	26	0	#7CAE00
#7CAE00	2	48	26	26	2	#7CAE00
#7CAE00	4	57	26	26	4	#7CAE00
#7CAE00	6	74	26	26	6	#7CAE00
#7CAE00	8	93	26	26	8	#7CAE00
#7CAE00	10	114	26	26	10	#7CAE00
#7CAE00	12	136	26	26	12	#7CAE00
#7CAE00	14	147	26	26	14	#7CAE00
#7CAE00	16	169	26	26	16	#7CAE00
#7CAE00	18	205	26	26	18	#7CAE00
#7CAE00	20	236	26	26	20	#7CAE00
#7CAE00	21	251	26	26	21	#7CAE00
#7CAE00	0	39	27	27	0	#7CAE00
#7CAE00	2	46	27	27	2	#7CAE00
#7CAE00	4	58	27	27	4	#7CAE00
#7CAE00	6	73	27	27	6	#7CAE00
#7CAE00	8	87	27	27	8	#7CAE00
#7CAE00	10	100	27	27	10	#7CAE00
#7CAE00	12	115	27	27	12	#7CAE00
#7CAE00	14	123	27	27	14	#7CAE00
#7CAE00	16	144	27	27	16	#7CAE00
#7CAE00	18	163	27	27	18	#7CAE00
#7CAE00	20	185	27	27	20	#7CAE00
#7CAE00	21	192	27	27	21	#7CAE00
#7CAE00	0	39	28	28	0	#7CAE00
#7CAE00	2	46	28	28	2	#7CAE00
#7CAE00	4	58	28	28	4	#7CAE00
#7CAE00	6	73	28	28	6	#7CAE00
#7CAE00	8	92	28	28	8	#7CAE00
#7CAE00	10	114	28	28	10	#7CAE00
#7CAE00	12	145	28	28	12	#7CAE00
#7CAE00	14	156	28	28	14	#7CAE00
#7CAE00	16	184	28	28	16	#7CAE00
#7CAE00	18	207	28	28	18	#7CAE00
#7CAE00	20	212	28	28	20	#7CAE00
#7CAE00	21	233	28	28	21	#7CAE00
#7CAE00	0	39	29	29	0	#7CAE00
#7CAE00	2	48	29	29	2	#7CAE00
#7CAE00	4	59	29	29	4	#7CAE00
#7CAE00	6	74	29	29	6	#7CAE00
#7CAE00	8	87	29	29	8	#7CAE00
#7CAE00	10	106	29	29	10	#7CAE00
#7CAE00	12	134	29	29	12	#7CAE00
#7CAE00	14	150	29	29	14	#7CAE00
#7CAE00	16	187	29	29	16	#7CAE00
#7CAE00	18	230	29	29	18	#7CAE00
#7CAE00	20	279	29	29	20	#7CAE00
#7CAE00	21	309	29	29	21	#7CAE00
#7CAE00	0	42	30	30	0	#7CAE00
#7CAE00	2	48	30	30	2	#7CAE00
#7CAE00	4	59	30	30	4	#7CAE00
#7CAE00	6	72	30	30	6	#7CAE00
#7CAE00	8	85	30	30	8	#7CAE00
#7CAE00	10	98	30	30	10	#7CAE00
#7CAE00	12	115	30	30	12	#7CAE00
#7CAE00	14	122	30	30	14	#7CAE00
#7CAE00	16	143	30	30	16	#7CAE00
#7CAE00	18	151	30	30	18	#7CAE00
#7CAE00	20	157	30	30	20	#7CAE00
#7CAE00	21	150	30	30	21	#7CAE00
