x	y	label	key	showSelected1	showSelected2
0	50	1	1	0	1
2	59	1	1	2	1
4	67	1	1	4	1
6	72	1	1	6	1
8	84	1	1	8	1
10	101	1	1	10	1
12	114	1	1	12	1
14	133	1	1	14	1
16	157	1	1	16	1
18	179	1	1	18	1
20	207	1	1	20	1
21	213	1	1	21	1
0	48	2	2	0	2
2	57	2	2	2	2
4	66	2	2	4	2
6	80	2	2	6	2
8	92	2	2	8	2
10	111	2	2	10	2
12	130	2	2	12	2
14	146	2	2	14	2
16	170	2	2	16	2
18	195	2	2	18	2
20	217	2	2	20	2
21	223	2	2	21	2
0	51	3	3	0	3
2	47	3	3	2	3
4	63	3	3	4	3
6	75	3	3	6	3
8	92	3	3	8	3
10	107	3	3	10	3
12	123	3	3	12	3
14	146	3	3	14	3
16	171	3	3	16	3
18	195	3	3	18	3
20	206	3	3	20	3
21	210	3	3	21	3
0	50	4	4	0	4
2	57	4	4	2	4
4	64	4	4	4	4
6	75	4	4	6	4
8	82	4	4	8	4
10	95	4	4	10	4
12	110	4	4	12	4
14	116	4	4	14	4
16	144	4	4	16	4
18	162	4	4	18	4
20	168	4	4	20	4
21	165	4	4	21	4
0	49	5	5	0	5
2	50	5	5	2	5
4	56	5	5	4	5
6	68	5	5	6	5
8	87	5	5	8	5
10	114	5	5	10	5
12	149	5	5	12	5
14	172	5	5	14	5
16	205	5	5	16	5
18	207	5	5	18	5
20	228	5	5	20	5
21	231	5	5	21	5
0	49	6	6	0	6
2	57	6	6	2	6
4	67	6	6	4	6
6	82	6	6	6	6
8	105	6	6	8	6
10	132	6	6	10	6
12	149	6	6	12	6
14	156	6	6	14	6
16	163	6	6	16	6
18	168	6	6	18	6
20	168	6	6	20	6
21	165	6	6	21	6
0	49	7	7	0	7
2	57	7	7	2	7
4	65	7	7	4	7
6	79	7	7	6	7
8	97	7	7	8	7
10	120	7	7	10	7
12	154	7	7	12	7
14	182	7	7	14	7
16	226	7	7	16	7
18	258	7	7	18	7
20	296	7	7	20	7
21	313	7	7	21	7
0	50	8	8	0	8
2	58	8	8	2	8
4	69	8	8	4	8
6	79	8	8	6	8
8	92	8	8	8	8
10	101	8	8	10	8
12	118	8	8	12	8
14	124	8	8	14	8
16	134	8	8	16	8
18	142	8	8	18	8
20	133	8	8	20	8
0	50	9	9	0	9
2	59	9	9	2	9
4	67	9	9	4	9
6	76	9	9	6	9
8	93	9	9	8	9
10	104	9	9	10	9
12	98	9	9	12	9
14	100	9	9	14	9
16	101	9	9	16	9
18	108	9	9	18	9
