fill	key	clickSelects	showSelected1	ymin	ymax	xmin	xmax
#F8766D	1	1	0	0	41.4	0.65	1.35
#7CAE00	2	2	0	0	40.7	1.65	2.35
#00BFC4	3	3	0	0	40.8	2.65	3.35
#C77CFF	4	4	0	0	41	3.65	4.35
#F8766D	1	1	2	0	47.25	0.65	1.35
#7CAE00	2	2	2	0	49.4	1.65	2.35
#00BFC4	3	3	2	0	50.4	2.65	3.35
#C77CFF	4	4	2	0	51.8	3.65	4.35
#F8766D	1	1	4	0	56.4736842105263	0.65	1.35
#7CAE00	2	2	4	0	59.8	1.65	2.35
#00BFC4	3	3	4	0	62.2	2.65	3.35
#C77CFF	4	4	4	0	64.5	3.65	4.35
#F8766D	1	1	6	0	66.7894736842105	0.65	1.35
#7CAE00	2	2	6	0	75.4	1.65	2.35
#00BFC4	3	3	6	0	77.9	2.65	3.35
#C77CFF	4	4	6	0	83.9	3.65	4.35
#F8766D	1	1	8	0	79.6842105263158	0.65	1.35
#7CAE00	2	2	8	0	91.7	1.65	2.35
#00BFC4	3	3	8	0	98.4	2.65	3.35
#C77CFF	4	4	8	0	105.6	3.65	4.35
#F8766D	1	1	10	0	93.0526315789474	0.65	1.35
#7CAE00	2	2	10	0	108.5	1.65	2.35
#00BFC4	3	3	10	0	117.1	2.65	3.35
#C77CFF	4	4	10	0	126	3.65	4.35
#F8766D	1	1	12	0	108.526315789474	0.65	1.35
#7CAE00	2	2	12	0	131.3	1.65	2.35
#00BFC4	3	3	12	0	144.4	2.65	3.35
#C77CFF	4	4	12	0	151.4	3.65	4.35
#F8766D	1	1	14	0	123.388888888889	0.65	1.35
#7CAE00	2	2	14	0	141.9	1.65	2.35
#00BFC4	3	3	14	0	164.5	2.65	3.35
#C77CFF	4	4	14	0	161.8	3.65	4.35
#F8766D	1	1	16	0	144.647058823529	0.65	1.35
#7CAE00	2	2	16	0	164.7	1.65	2.35
#00BFC4	3	3	16	0	197.4	2.65	3.35
#C77CFF	4	4	16	0	182	3.65	4.35
#F8766D	1	1	18	0	158.941176470588	0.65	1.35
#7CAE00	2	2	18	0	187.7	1.65	2.35
#00BFC4	3	3	18	0	233.1	2.65	3.35
#C77CFF	4	4	18	0	202.9	3.65	4.35
#F8766D	1	1	20	0	170.411764705882	0.65	1.35
#7CAE00	2	2	20	0	205.6	1.65	2.35
#00BFC4	3	3	20	0	258.9	2.65	3.35
#C77CFF	4	4	20	0	233.888888888889	3.65	4.35
#F8766D	1	1	21	0	177.75	0.65	1.35
#7CAE00	2	2	21	0	214.7	1.65	2.35
#00BFC4	3	3	21	0	270.3	2.65	3.35
#C77CFF	4	4	21	0	238.555555555556	3.65	4.35
