x	y	label	key	showSelected1
1	51.4	41.4	1	0
2	50.7	40.7	2	0
3	50.8	40.8	3	0
4	51	41	4	0
1	57.25	47.2	1	2
2	59.4	49.4	2	2
3	60.4	50.4	3	2
4	61.8	51.8	4	2
1	66.4736842105263	56.5	1	4
2	69.8	59.8	2	4
3	72.2	62.2	3	4
4	74.5	64.5	4	4
1	76.7894736842105	66.8	1	6
2	85.4	75.4	2	6
3	87.9	77.9	3	6
4	93.9	83.9	4	6
1	89.6842105263158	79.7	1	8
2	101.7	91.7	2	8
3	108.4	98.4	3	8
4	115.6	105.6	4	8
1	103.052631578947	93.1	1	10
2	118.5	108.5	2	10
3	127.1	117.1	3	10
4	136	126	4	10
1	118.526315789474	108.5	1	12
2	141.3	131.3	2	12
3	154.4	144.4	3	12
4	161.4	151.4	4	12
1	133.388888888889	123.4	1	14
2	151.9	141.9	2	14
3	174.5	164.5	3	14
4	171.8	161.8	4	14
1	154.647058823529	144.6	1	16
2	174.7	164.7	2	16
3	207.4	197.4	3	16
4	192	182	4	16
1	168.941176470588	158.9	1	18
2	197.7	187.7	2	18
3	243.1	233.1	3	18
4	212.9	202.9	4	18
1	180.411764705882	170.4	1	20
2	215.6	205.6	2	20
3	268.9	258.9	3	20
4	243.888888888889	233.9	4	20
1	187.75	177.8	1	21
2	224.7	214.7	2	21
3	280.3	270.3	3	21
4	248.555555555556	238.6	4	21
