colour	x	y	key	clickSelects	showSelected1	fill
#F8766D	95	16	Qn1	Qn1	1	#F8766D
#F8766D	175	30.4	Qn1	Qn1	2	#F8766D
#F8766D	250	34.8	Qn1	Qn1	3	#F8766D
#F8766D	350	37.2	Qn1	Qn1	4	#F8766D
#F8766D	500	35.3	Qn1	Qn1	5	#F8766D
#F8766D	675	39.2	Qn1	Qn1	6	#F8766D
#F8766D	1000	39.7	Qn1	Qn1	7	#F8766D
#F8766D	95	13.6	Qn2	Qn2	1	#F8766D
#F8766D	175	27.3	Qn2	Qn2	2	#F8766D
#F8766D	250	37.1	Qn2	Qn2	3	#F8766D
#F8766D	350	41.8	Qn2	Qn2	4	#F8766D
#F8766D	500	40.6	Qn2	Qn2	5	#F8766D
#F8766D	675	41.4	Qn2	Qn2	6	#F8766D
#F8766D	1000	44.3	Qn2	Qn2	7	#F8766D
#F8766D	95	16.2	Qn3	Qn3	1	#F8766D
#F8766D	175	32.4	Qn3	Qn3	2	#F8766D
#F8766D	250	40.3	Qn3	Qn3	3	#F8766D
#F8766D	350	42.1	Qn3	Qn3	4	#F8766D
#F8766D	500	42.9	Qn3	Qn3	5	#F8766D
#F8766D	675	43.9	Qn3	Qn3	6	#F8766D
#F8766D	1000	45.5	Qn3	Qn3	7	#F8766D
#7CAE00	95	14.2	Qc1	Qc1	1	#7CAE00
#7CAE00	175	24.1	Qc1	Qc1	2	#7CAE00
#7CAE00	250	30.3	Qc1	Qc1	3	#7CAE00
#7CAE00	350	34.6	Qc1	Qc1	4	#7CAE00
#7CAE00	500	32.5	Qc1	Qc1	5	#7CAE00
#7CAE00	675	35.4	Qc1	Qc1	6	#7CAE00
#7CAE00	1000	38.7	Qc1	Qc1	7	#7CAE00
#7CAE00	95	9.3	Qc2	Qc2	1	#7CAE00
#7CAE00	175	27.3	Qc2	Qc2	2	#7CAE00
#7CAE00	250	35	Qc2	Qc2	3	#7CAE00
#7CAE00	350	38.8	Qc2	Qc2	4	#7CAE00
#7CAE00	500	38.6	Qc2	Qc2	5	#7CAE00
#7CAE00	675	37.5	Qc2	Qc2	6	#7CAE00
#7CAE00	1000	42.4	Qc2	Qc2	7	#7CAE00
#7CAE00	95	15.1	Qc3	Qc3	1	#7CAE00
#7CAE00	175	21	Qc3	Qc3	2	#7CAE00
#7CAE00	250	38.1	Qc3	Qc3	3	#7CAE00
#7CAE00	350	34	Qc3	Qc3	4	#7CAE00
#7CAE00	500	38.9	Qc3	Qc3	5	#7CAE00
#7CAE00	675	39.6	Qc3	Qc3	6	#7CAE00
#7CAE00	1000	41.4	Qc3	Qc3	7	#7CAE00
#F8766D	95	10.6	Mn1	Mn1	1	#F8766D
#F8766D	175	19.2	Mn1	Mn1	2	#F8766D
#F8766D	250	26.2	Mn1	Mn1	3	#F8766D
#F8766D	350	30	Mn1	Mn1	4	#F8766D
#F8766D	500	30.9	Mn1	Mn1	5	#F8766D
#F8766D	675	32.4	Mn1	Mn1	6	#F8766D
#F8766D	1000	35.5	Mn1	Mn1	7	#F8766D
#F8766D	95	12	Mn2	Mn2	1	#F8766D
#F8766D	175	22	Mn2	Mn2	2	#F8766D
#F8766D	250	30.6	Mn2	Mn2	3	#F8766D
#F8766D	350	31.8	Mn2	Mn2	4	#F8766D
#F8766D	500	32.4	Mn2	Mn2	5	#F8766D
#F8766D	675	31.1	Mn2	Mn2	6	#F8766D
#F8766D	1000	31.5	Mn2	Mn2	7	#F8766D
#F8766D	95	11.3	Mn3	Mn3	1	#F8766D
#F8766D	175	19.4	Mn3	Mn3	2	#F8766D
#F8766D	250	25.8	Mn3	Mn3	3	#F8766D
#F8766D	350	27.9	Mn3	Mn3	4	#F8766D
#F8766D	500	28.5	Mn3	Mn3	5	#F8766D
#F8766D	675	28.1	Mn3	Mn3	6	#F8766D
#F8766D	1000	27.8	Mn3	Mn3	7	#F8766D
#7CAE00	95	10.5	Mc1	Mc1	1	#7CAE00
#7CAE00	175	14.9	Mc1	Mc1	2	#7CAE00
#7CAE00	250	18.1	Mc1	Mc1	3	#7CAE00
#7CAE00	350	18.9	Mc1	Mc1	4	#7CAE00
#7CAE00	500	19.5	Mc1	Mc1	5	#7CAE00
#7CAE00	675	22.2	Mc1	Mc1	6	#7CAE00
#7CAE00	1000	21.9	Mc1	Mc1	7	#7CAE00
#7CAE00	95	7.7	Mc2	Mc2	1	#7CAE00
#7CAE00	175	11.4	Mc2	Mc2	2	#7CAE00
#7CAE00	250	12.3	Mc2	Mc2	3	#7CAE00
#7CAE00	350	13	Mc2	Mc2	4	#7CAE00
#7CAE00	500	12.5	Mc2	Mc2	5	#7CAE00
#7CAE00	675	13.7	Mc2	Mc2	6	#7CAE00
#7CAE00	1000	14.4	Mc2	Mc2	7	#7CAE00
#7CAE00	95	10.6	Mc3	Mc3	1	#7CAE00
#7CAE00	175	18	Mc3	Mc3	2	#7CAE00
#7CAE00	250	17.9	Mc3	Mc3	3	#7CAE00
#7CAE00	350	17.9	Mc3	Mc3	4	#7CAE00
#7CAE00	500	17.9	Mc3	Mc3	5	#7CAE00
#7CAE00	675	18.9	Mc3	Mc3	6	#7CAE00
#7CAE00	1000	19.9	Mc3	Mc3	7	#7CAE00
