x	y	label	key	showSelected1	showSelected2
95	18	Qn1	Qn1	1	Qn1
175	32.4	Qn1	Qn1	2	Qn1
250	36.8	Qn1	Qn1	3	Qn1
350	39.2	Qn1	Qn1	4	Qn1
500	37.3	Qn1	Qn1	5	Qn1
675	41.2	Qn1	Qn1	6	Qn1
1000	41.7	Qn1	Qn1	7	Qn1
95	15.6	Qn2	Qn2	1	Qn2
175	29.3	Qn2	Qn2	2	Qn2
250	39.1	Qn2	Qn2	3	Qn2
350	43.8	Qn2	Qn2	4	Qn2
500	42.6	Qn2	Qn2	5	Qn2
675	43.4	Qn2	Qn2	6	Qn2
1000	46.3	Qn2	Qn2	7	Qn2
95	18.2	Qn3	Qn3	1	Qn3
175	34.4	Qn3	Qn3	2	Qn3
250	42.3	Qn3	Qn3	3	Qn3
350	44.1	Qn3	Qn3	4	Qn3
500	44.9	Qn3	Qn3	5	Qn3
675	45.9	Qn3	Qn3	6	Qn3
1000	47.5	Qn3	Qn3	7	Qn3
95	16.2	Qc1	Qc1	1	Qc1
175	26.1	Qc1	Qc1	2	Qc1
250	32.3	Qc1	Qc1	3	Qc1
350	36.6	Qc1	Qc1	4	Qc1
500	34.5	Qc1	Qc1	5	Qc1
675	37.4	Qc1	Qc1	6	Qc1
1000	40.7	Qc1	Qc1	7	Qc1
95	11.3	Qc2	Qc2	1	Qc2
175	29.3	Qc2	Qc2	2	Qc2
250	37	Qc2	Qc2	3	Qc2
350	40.8	Qc2	Qc2	4	Qc2
500	40.6	Qc2	Qc2	5	Qc2
675	39.5	Qc2	Qc2	6	Qc2
1000	44.4	Qc2	Qc2	7	Qc2
95	17.1	Qc3	Qc3	1	Qc3
175	23	Qc3	Qc3	2	Qc3
250	40.1	Qc3	Qc3	3	Qc3
350	36	Qc3	Qc3	4	Qc3
500	40.9	Qc3	Qc3	5	Qc3
675	41.6	Qc3	Qc3	6	Qc3
1000	43.4	Qc3	Qc3	7	Qc3
95	12.6	Mn1	Mn1	1	Mn1
175	21.2	Mn1	Mn1	2	Mn1
250	28.2	Mn1	Mn1	3	Mn1
350	32	Mn1	Mn1	4	Mn1
500	32.9	Mn1	Mn1	5	Mn1
675	34.4	Mn1	Mn1	6	Mn1
1000	37.5	Mn1	Mn1	7	Mn1
95	14	Mn2	Mn2	1	Mn2
175	24	Mn2	Mn2	2	Mn2
250	32.6	Mn2	Mn2	3	Mn2
350	33.8	Mn2	Mn2	4	Mn2
500	34.4	Mn2	Mn2	5	Mn2
675	33.1	Mn2	Mn2	6	Mn2
1000	33.5	Mn2	Mn2	7	Mn2
95	13.3	Mn3	Mn3	1	Mn3
175	21.4	Mn3	Mn3	2	Mn3
250	27.8	Mn3	Mn3	3	Mn3
350	29.9	Mn3	Mn3	4	Mn3
500	30.5	Mn3	Mn3	5	Mn3
675	30.1	Mn3	Mn3	6	Mn3
1000	29.8	Mn3	Mn3	7	Mn3
95	12.5	Mc1	Mc1	1	Mc1
175	16.9	Mc1	Mc1	2	Mc1
250	20.1	Mc1	Mc1	3	Mc1
350	20.9	Mc1	Mc1	4	Mc1
500	21.5	Mc1	Mc1	5	Mc1
675	24.2	Mc1	Mc1	6	Mc1
1000	23.9	Mc1	Mc1	7	Mc1
95	9.7	Mc2	Mc2	1	Mc2
175	13.4	Mc2	Mc2	2	Mc2
250	14.3	Mc2	Mc2	3	Mc2
350	15	Mc2	Mc2	4	Mc2
500	14.5	Mc2	Mc2	5	Mc2
675	15.7	Mc2	Mc2	6	Mc2
1000	16.4	Mc2	Mc2	7	Mc2
95	12.6	Mc3	Mc3	1	Mc3
175	20	Mc3	Mc3	2	Mc3
250	19.9	Mc3	Mc3	3	Mc3
350	19.9	Mc3	Mc3	4	Mc3
500	19.9	Mc3	Mc3	5	Mc3
675	20.9	Mc3	Mc3	6	Mc3
1000	21.9	Mc3	Mc3	7	Mc3
