fill	key	showSelected1	ymin	ymax	xmin	xmax
#F8766D	nonchilled	1	0	13.2833333333333	0.65	1.35
#00BFC4	chilled	1	0	11.2333333333333	1.65	2.35
#F8766D	nonchilled	2	0	25.1166666666667	0.65	1.35
#00BFC4	chilled	2	0	19.45	1.65	2.35
#F8766D	nonchilled	3	0	32.4666666666667	0.65	1.35
#00BFC4	chilled	3	0	25.2833333333333	1.65	2.35
#F8766D	nonchilled	4	0	35.1333333333333	0.65	1.35
#00BFC4	chilled	4	0	26.2	1.65	2.35
#F8766D	nonchilled	5	0	35.1	0.65	1.35
#00BFC4	chilled	5	0	26.65	1.65	2.35
#F8766D	nonchilled	6	0	36.0166666666667	0.65	1.35
#00BFC4	chilled	6	0	27.8833333333333	1.65	2.35
#F8766D	nonchilled	7	0	37.3833333333333	0.65	1.35
#00BFC4	chilled	7	0	29.7833333333333	1.65	2.35
