colour	x	y	key	clickSelects	showSelected1	showSelected2	fill
#F8766D	1.513	30.4	4	4	1	4	#F8766D
#F8766D	1.513	30.4	4	4	2	4	#F8766D
#F8766D	1.615	30.4	4	4	2	4	#F8766D
#F8766D	1.513	30.4	4	4	3	4	#F8766D
#F8766D	1.615	30.4	4	4	3	4	#F8766D
#F8766D	1.835	33.9	4	4	3	4	#F8766D
#F8766D	1.513	30.4	4	4	4	4	#F8766D
#F8766D	1.615	30.4	4	4	4	4	#F8766D
#F8766D	1.835	33.9	4	4	4	4	#F8766D
#F8766D	1.935	27.3	4	4	4	4	#F8766D
#F8766D	1.513	30.4	4	4	5	4	#F8766D
#F8766D	1.615	30.4	4	4	5	4	#F8766D
#F8766D	1.835	33.9	4	4	5	4	#F8766D
#F8766D	1.935	27.3	4	4	5	4	#F8766D
#F8766D	2.14	26	4	4	5	4	#F8766D
#F8766D	1.513	30.4	4	4	6	4	#F8766D
#F8766D	1.615	30.4	4	4	6	4	#F8766D
#F8766D	1.835	33.9	4	4	6	4	#F8766D
#F8766D	1.935	27.3	4	4	6	4	#F8766D
#F8766D	2.14	26	4	4	6	4	#F8766D
#F8766D	2.2	32.4	4	4	6	4	#F8766D
#F8766D	1.513	30.4	4	4	7	4	#F8766D
#F8766D	1.615	30.4	4	4	7	4	#F8766D
#F8766D	1.835	33.9	4	4	7	4	#F8766D
#F8766D	1.935	27.3	4	4	7	4	#F8766D
#F8766D	2.14	26	4	4	7	4	#F8766D
#F8766D	2.2	32.4	4	4	7	4	#F8766D
#F8766D	2.32	22.8	4	4	7	4	#F8766D
#F8766D	1.513	30.4	4	4	8	4	#F8766D
#F8766D	1.615	30.4	4	4	8	4	#F8766D
#F8766D	1.835	33.9	4	4	8	4	#F8766D
#F8766D	1.935	27.3	4	4	8	4	#F8766D
#F8766D	2.14	26	4	4	8	4	#F8766D
#F8766D	2.2	32.4	4	4	8	4	#F8766D
#F8766D	2.32	22.8	4	4	8	4	#F8766D
#F8766D	2.465	21.5	4	4	8	4	#F8766D
#F8766D	1.513	30.4	4	4	9	4	#F8766D
#F8766D	1.615	30.4	4	4	9	4	#F8766D
#F8766D	1.835	33.9	4	4	9	4	#F8766D
#F8766D	1.935	27.3	4	4	9	4	#F8766D
#F8766D	2.14	26	4	4	9	4	#F8766D
#F8766D	2.2	32.4	4	4	9	4	#F8766D
#F8766D	2.32	22.8	4	4	9	4	#F8766D
#F8766D	2.465	21.5	4	4	9	4	#F8766D
#00BA38	2.62	21	6	6	9	6	#00BA38
#F8766D	1.513	30.4	4	4	10	4	#F8766D
#F8766D	1.615	30.4	4	4	10	4	#F8766D
#F8766D	1.835	33.9	4	4	10	4	#F8766D
#F8766D	1.935	27.3	4	4	10	4	#F8766D
#F8766D	2.14	26	4	4	10	4	#F8766D
#F8766D	2.2	32.4	4	4	10	4	#F8766D
#F8766D	2.32	22.8	4	4	10	4	#F8766D
#F8766D	2.465	21.5	4	4	10	4	#F8766D
#00BA38	2.62	21	6	6	10	6	#00BA38
#00BA38	2.77	19.7	6	6	10	6	#00BA38
#F8766D	1.513	30.4	4	4	11	4	#F8766D
#F8766D	1.615	30.4	4	4	11	4	#F8766D
#F8766D	1.835	33.9	4	4	11	4	#F8766D
#F8766D	1.935	27.3	4	4	11	4	#F8766D
#F8766D	2.14	26	4	4	11	4	#F8766D
#F8766D	2.2	32.4	4	4	11	4	#F8766D
#F8766D	2.32	22.8	4	4	11	4	#F8766D
#F8766D	2.465	21.5	4	4	11	4	#F8766D
#00BA38	2.62	21	6	6	11	6	#00BA38
#00BA38	2.77	19.7	6	6	11	6	#00BA38
#F8766D	2.78	21.4	4	4	11	4	#F8766D
#F8766D	1.513	30.4	4	4	12	4	#F8766D
#F8766D	1.615	30.4	4	4	12	4	#F8766D
#F8766D	1.835	33.9	4	4	12	4	#F8766D
#F8766D	1.935	27.3	4	4	12	4	#F8766D
#F8766D	2.14	26	4	4	12	4	#F8766D
#F8766D	2.2	32.4	4	4	12	4	#F8766D
#F8766D	2.32	22.8	4	4	12	4	#F8766D
#F8766D	2.465	21.5	4	4	12	4	#F8766D
#00BA38	2.62	21	6	6	12	6	#00BA38
#00BA38	2.77	19.7	6	6	12	6	#00BA38
#F8766D	2.78	21.4	4	4	12	4	#F8766D
#00BA38	2.875	21	6	6	12	6	#00BA38
#F8766D	1.513	30.4	4	4	13	4	#F8766D
#F8766D	1.615	30.4	4	4	13	4	#F8766D
#F8766D	1.835	33.9	4	4	13	4	#F8766D
#F8766D	1.935	27.3	4	4	13	4	#F8766D
#F8766D	2.14	26	4	4	13	4	#F8766D
#F8766D	2.2	32.4	4	4	13	4	#F8766D
#F8766D	2.32	22.8	4	4	13	4	#F8766D
#F8766D	2.465	21.5	4	4	13	4	#F8766D
#00BA38	2.62	21	6	6	13	6	#00BA38
#00BA38	2.77	19.7	6	6	13	6	#00BA38
#F8766D	2.78	21.4	4	4	13	4	#F8766D
#00BA38	2.875	21	6	6	13	6	#00BA38
#F8766D	3.15	22.8	4	4	13	4	#F8766D
#F8766D	1.513	30.4	4	4	14	4	#F8766D
#F8766D	1.615	30.4	4	4	14	4	#F8766D
#F8766D	1.835	33.9	4	4	14	4	#F8766D
#F8766D	1.935	27.3	4	4	14	4	#F8766D
#F8766D	2.14	26	4	4	14	4	#F8766D
#F8766D	2.2	32.4	4	4	14	4	#F8766D
#F8766D	2.32	22.8	4	4	14	4	#F8766D
#F8766D	2.465	21.5	4	4	14	4	#F8766D
#00BA38	2.62	21	6	6	14	6	#00BA38
#00BA38	2.77	19.7	6	6	14	6	#00BA38
#F8766D	2.78	21.4	4	4	14	4	#F8766D
#00BA38	2.875	21	6	6	14	6	#00BA38
#F8766D	3.15	22.8	4	4	14	4	#F8766D
#619CFF	3.17	15.8	8	8	14	8	#619CFF
#F8766D	1.513	30.4	4	4	15	4	#F8766D
#F8766D	1.615	30.4	4	4	15	4	#F8766D
#F8766D	1.835	33.9	4	4	15	4	#F8766D
#F8766D	1.935	27.3	4	4	15	4	#F8766D
#F8766D	2.14	26	4	4	15	4	#F8766D
#F8766D	2.2	32.4	4	4	15	4	#F8766D
#F8766D	2.32	22.8	4	4	15	4	#F8766D
