x	y	label	key	showSelected1	showSelected2
1.513	30.4	Lotus Europa	Lotus Europa	1	4
1.513	30.4	Lotus Europa	Lotus Europa	2	4
1.615	30.4	Honda Civic	Honda Civic	2	4
1.513	30.4	Lotus Europa	Lotus Europa	3	4
1.615	30.4	Honda Civic	Honda Civic	3	4
1.835	33.9	Toyota Corolla	Toyota Corolla	3	4
1.513	30.4	Lotus Europa	Lotus Europa	4	4
1.615	30.4	Honda Civic	Honda Civic	4	4
1.835	33.9	Toyota Corolla	Toyota Corolla	4	4
1.935	27.3	Fiat X1-9	Fiat X1-9	4	4
1.513	30.4	Lotus Europa	Lotus Europa	5	4
1.615	30.4	Honda Civic	Honda Civic	5	4
1.835	33.9	Toyota Corolla	Toyota Corolla	5	4
1.935	27.3	Fiat X1-9	Fiat X1-9	5	4
2.14	26	Porsche 914-2	Porsche 914-2	5	4
1.513	30.4	Lotus Europa	Lotus Europa	6	4
1.615	30.4	Honda Civic	Honda Civic	6	4
1.835	33.9	Toyota Corolla	Toyota Corolla	6	4
1.935	27.3	Fiat X1-9	Fiat X1-9	6	4
2.14	26	Porsche 914-2	Porsche 914-2	6	4
2.2	32.4	Fiat 128	Fiat 128	6	4
1.513	30.4	Lotus Europa	Lotus Europa	7	4
1.615	30.4	Honda Civic	Honda Civic	7	4
1.835	33.9	Toyota Corolla	Toyota Corolla	7	4
1.935	27.3	Fiat X1-9	Fiat X1-9	7	4
2.14	26	Porsche 914-2	Porsche 914-2	7	4
2.2	32.4	Fiat 128	Fiat 128	7	4
2.32	22.8	Datsun 710	Datsun 710	7	4
1.513	30.4	Lotus Europa	Lotus Europa	8	4
1.615	30.4	Honda Civic	Honda Civic	8	4
1.835	33.9	Toyota Corolla	Toyota Corolla	8	4
1.935	27.3	Fiat X1-9	Fiat X1-9	8	4
2.14	26	Porsche 914-2	Porsche 914-2	8	4
2.2	32.4	Fiat 128	Fiat 128	8	4
2.32	22.8	Datsun 710	Datsun 710	8	4
2.465	21.5	Toyota Corona	Toyota Corona	8	4
1.513	30.4	Lotus Europa	Lotus Europa	9	4
1.615	30.4	Honda Civic	Honda Civic	9	4
1.835	33.9	Toyota Corolla	Toyota Corolla	9	4
1.935	27.3	Fiat X1-9	Fiat X1-9	9	4
2.14	26	Porsche 914-2	Porsche 914-2	9	4
2.2	32.4	Fiat 128	Fiat 128	9	4
2.32	22.8	Datsun 710	Datsun 710	9	4
2.465	21.5	Toyota Corona	Toyota Corona	9	4
2.62	21	Mazda RX4	Mazda RX4	9	6
1.513	30.4	Lotus Europa	Lotus Europa	10	4
1.615	30.4	Honda Civic	Honda Civic	10	4
1.835	33.9	Toyota Corolla	Toyota Corolla	10	4
1.935	27.3	Fiat X1-9	Fiat X1-9	10	4
2.14	26	Porsche 914-2	Porsche 914-2	10	4
2.2	32.4	Fiat 128	Fiat 128	10	4
2.32	22.8	Datsun 710	Datsun 710	10	4
2.465	21.5	Toyota Corona	Toyota Corona	10	4
2.62	21	Mazda RX4	Mazda RX4	10	6
2.77	19.7	Ferrari Dino	Ferrari Dino	10	6
1.513	30.4	Lotus Europa	Lotus Europa	11	4
1.615	30.4	Honda Civic	Honda Civic	11	4
1.835	33.9	Toyota Corolla	Toyota Corolla	11	4
1.935	27.3	Fiat X1-9	Fiat X1-9	11	4
2.14	26	Porsche 914-2	Porsche 914-2	11	4
2.2	32.4	Fiat 128	Fiat 128	11	4
2.32	22.8	Datsun 710	Datsun 710	11	4
2.465	21.5	Toyota Corona	Toyota Corona	11	4
2.62	21	Mazda RX4	Mazda RX4	11	6
2.77	19.7	Ferrari Dino	Ferrari Dino	11	6
2.78	21.4	Volvo 142E	Volvo 142E	11	4
1.513	30.4	Lotus Europa	Lotus Europa	12	4
1.615	30.4	Honda Civic	Honda Civic	12	4
1.835	33.9	Toyota Corolla	Toyota Corolla	12	4
1.935	27.3	Fiat X1-9	Fiat X1-9	12	4
2.14	26	Porsche 914-2	Porsche 914-2	12	4
2.2	32.4	Fiat 128	Fiat 128	12	4
2.32	22.8	Datsun 710	Datsun 710	12	4
2.465	21.5	Toyota Corona	Toyota Corona	12	4
2.62	21	Mazda RX4	Mazda RX4	12	6
2.77	19.7	Ferrari Dino	Ferrari Dino	12	6
2.78	21.4	Volvo 142E	Volvo 142E	12	4
2.875	21	Mazda RX4 Wag	Mazda RX4 Wag	12	6
1.513	30.4	Lotus Europa	Lotus Europa	13	4
1.615	30.4	Honda Civic	Honda Civic	13	4
1.835	33.9	Toyota Corolla	Toyota Corolla	13	4
1.935	27.3	Fiat X1-9	Fiat X1-9	13	4
2.14	26	Porsche 914-2	Porsche 914-2	13	4
2.2	32.4	Fiat 128	Fiat 128	13	4
2.32	22.8	Datsun 710	Datsun 710	13	4
2.465	21.5	Toyota Corona	Toyota Corona	13	4
2.62	21	Mazda RX4	Mazda RX4	13	6
2.77	19.7	Ferrari Dino	Ferrari Dino	13	6
2.78	21.4	Volvo 142E	Volvo 142E	13	4
2.875	21	Mazda RX4 Wag	Mazda RX4 Wag	13	6
3.15	22.8	Merc 230	Merc 230	13	4
1.513	30.4	Lotus Europa	Lotus Europa	14	4
1.615	30.4	Honda Civic	Honda Civic	14	4
1.835	33.9	Toyota Corolla	Toyota Corolla	14	4
1.935	27.3	Fiat X1-9	Fiat X1-9	14	4
2.14	26	Porsche 914-2	Porsche 914-2	14	4
2.2	32.4	Fiat 128	Fiat 128	14	4
2.32	22.8	Datsun 710	Datsun 710	14	4
2.465	21.5	Toyota Corona	Toyota Corona	14	4
2.62	21	Mazda RX4	Mazda RX4	14	6
2.77	19.7	Ferrari Dino	Ferrari Dino	14	6
2.78	21.4	Volvo 142E	Volvo 142E	14	4
2.875	21	Mazda RX4 Wag	Mazda RX4 Wag	14	6
3.15	22.8	Merc 230	Merc 230	14	4
3.17	15.8	Ford Pantera L	Ford Pantera L	14	8
1.513	30.4	Lotus Europa	Lotus Europa	15	4
1.615	30.4	Honda Civic	Honda Civic	15	4
1.835	33.9	Toyota Corolla	Toyota Corolla	15	4
1.935	27.3	Fiat X1-9	Fiat X1-9	15	4
2.14	26	Porsche 914-2	Porsche 914-2	15	4
2.2	32.4	Fiat 128	Fiat 128	15	4
2.32	22.8	Datsun 710	Datsun 710	15	4
2.465	21.5	Toyota Corona	Toyota Corona	15	4
2.62	21	Mazda RX4	Mazda RX4	15	6
2.77	19.7	Ferrari Dino	Ferrari Dino	15	6
2.78	21.4	Volvo 142E	Volvo 142E	15	4
2.875	21	Mazda RX4 Wag	Mazda RX4 Wag	15	6
3.15	22.8	Merc 230	Merc 230	15	4
3.17	15.8	Ford Pantera L	Ford Pantera L	15	8
3.19	24.4	Merc 240D	Merc 240D	15	4
1.513	30.4	Lotus Europa	Lotus Europa	16	4
1.615	30.4	Honda Civic	Honda Civic	16	4
1.835	33.9	Toyota Corolla	Toyota Corolla	16	4
1.935	27.3	Fiat X1-9	Fiat X1-9	16	4
2.14	26	Porsche 914-2	Porsche 914-2	16	4
2.2	32.4	Fiat 128	Fiat 128	16	4
2.32	22.8	Datsun 710	Datsun 710	16	4
2.465	21.5	Toyota Corona	Toyota Corona	16	4
2.62	21	Mazda RX4	Mazda RX4	16	6
2.77	19.7	Ferrari Dino	Ferrari Dino	16	6
2.78	21.4	Volvo 142E	Volvo 142E	16	4
2.875	21	Mazda RX4 Wag	Mazda RX4 Wag	16	6
3.15	22.8	Merc 230	Merc 230	16	4
3.17	15.8	Ford Pantera L	Ford Pantera L	16	8
3.19	24.4	Merc 240D	Merc 240D	16	4
3.215	21.4	Hornet 4 Drive	Hornet 4 Drive	16	6
1.513	30.4	Lotus Europa	Lotus Europa	17	4
1.615	30.4	Honda Civic	Honda Civic	17	4
