group	colour	x	y	key
1	#F8766D	118	30	1
1	#F8766D	484	58	1
1	#F8766D	664	87	1
1	#F8766D	1004	115	1
1	#F8766D	1231	120	1
1	#F8766D	1372	142	1
1	#F8766D	1582	145	1
2	#A3A500	118	33	2
2	#A3A500	484	69	2
2	#A3A500	664	111	2
2	#A3A500	1004	156	2
2	#A3A500	1231	172	2
2	#A3A500	1372	203	2
2	#A3A500	1582	203	2
3	#00BF7D	118	30	3
3	#00BF7D	484	51	3
3	#00BF7D	664	75	3
3	#00BF7D	1004	108	3
3	#00BF7D	1231	115	3
3	#00BF7D	1372	139	3
3	#00BF7D	1582	140	3
4	#00B0F6	118	32	4
4	#00B0F6	484	62	4
4	#00B0F6	664	112	4
4	#00B0F6	1004	167	4
4	#00B0F6	1231	179	4
4	#00B0F6	1372	209	4
4	#00B0F6	1582	214	4
5	#E76BF3	118	30	5
5	#E76BF3	484	49	5
5	#E76BF3	664	81	5
5	#E76BF3	1004	125	5
5	#E76BF3	1231	142	5
5	#E76BF3	1372	174	5
5	#E76BF3	1582	177	5
