group	x	y	key	showSelected1
1	118	30	1	1
1	484	58	1	1
1	664	87	1	1
1	1004	115	1	1
1	1231	120	1	1
1	1372	142	1	1
1	1582	145	1	1
2	118	33	2	2
2	484	69	2	2
2	664	111	2	2
2	1004	156	2	2
2	1231	172	2	2
2	1372	203	2	2
2	1582	203	2	2
3	118	30	3	3
3	484	51	3	3
3	664	75	3	3
3	1004	108	3	3
3	1231	115	3	3
3	1372	139	3	3
3	1582	140	3	3
4	118	32	4	4
4	484	62	4	4
4	664	112	4	4
4	1004	167	4	4
4	1231	179	4	4
4	1372	209	4	4
4	1582	214	4	4
5	118	30	5	5
5	484	49	5	5
5	664	81	5	5
5	1004	125	5	5
5	1231	142	5	5
5	1372	174	5	5
5	1582	177	5	5
