colour	x	y	key	clickSelects	showSelected1	showSelected2	fill
#F8766D	118	30	1	1	1	1	#F8766D
#F8766D	484	58	1	1	2	1	#F8766D
#F8766D	664	87	1	1	3	1	#F8766D
#F8766D	1004	115	1	1	4	1	#F8766D
#F8766D	1231	120	1	1	5	1	#F8766D
#F8766D	1372	142	1	1	6	1	#F8766D
#F8766D	1582	145	1	1	7	1	#F8766D
#A3A500	118	33	2	2	1	2	#A3A500
#A3A500	484	69	2	2	2	2	#A3A500
#A3A500	664	111	2	2	3	2	#A3A500
#A3A500	1004	156	2	2	4	2	#A3A500
#A3A500	1231	172	2	2	5	2	#A3A500
#A3A500	1372	203	2	2	6	2	#A3A500
#A3A500	1582	203	2	2	7	2	#A3A500
#00BF7D	118	30	3	3	1	3	#00BF7D
#00BF7D	484	51	3	3	2	3	#00BF7D
#00BF7D	664	75	3	3	3	3	#00BF7D
#00BF7D	1004	108	3	3	4	3	#00BF7D
#00BF7D	1231	115	3	3	5	3	#00BF7D
#00BF7D	1372	139	3	3	6	3	#00BF7D
#00BF7D	1582	140	3	3	7	3	#00BF7D
#00B0F6	118	32	4	4	1	4	#00B0F6
#00B0F6	484	62	4	4	2	4	#00B0F6
#00B0F6	664	112	4	4	3	4	#00B0F6
#00B0F6	1004	167	4	4	4	4	#00B0F6
#00B0F6	1231	179	4	4	5	4	#00B0F6
#00B0F6	1372	209	4	4	6	4	#00B0F6
#00B0F6	1582	214	4	4	7	4	#00B0F6
#E76BF3	118	30	5	5	1	5	#E76BF3
#E76BF3	484	49	5	5	2	5	#E76BF3
#E76BF3	664	81	5	5	3	5	#E76BF3
#E76BF3	1004	125	5	5	4	5	#E76BF3
#E76BF3	1231	142	5	5	5	5	#E76BF3
#E76BF3	1372	174	5	5	6	5	#E76BF3
#E76BF3	1582	177	5	5	7	5	#E76BF3
