fill	key	clickSelects	showSelected1	ymin	ymax	xmin	xmax
#F8766D	1	1	1	0	30	0.65	1.35
#F8766D	1	1	2	0	58	0.65	1.35
#F8766D	1	1	3	0	87	0.65	1.35
#F8766D	1	1	4	0	115	0.65	1.35
#F8766D	1	1	5	0	120	0.65	1.35
#F8766D	1	1	6	0	142	0.65	1.35
#F8766D	1	1	7	0	145	0.65	1.35
#A3A500	2	2	1	0	33	1.65	2.35
#A3A500	2	2	2	0	69	1.65	2.35
#A3A500	2	2	3	0	111	1.65	2.35
#A3A500	2	2	4	0	156	1.65	2.35
#A3A500	2	2	5	0	172	1.65	2.35
#A3A500	2	2	6	0	203	1.65	2.35
#A3A500	2	2	7	0	203	1.65	2.35
#00BF7D	3	3	1	0	30	2.65	3.35
#00BF7D	3	3	2	0	51	2.65	3.35
#00BF7D	3	3	3	0	75	2.65	3.35
#00BF7D	3	3	4	0	108	2.65	3.35
#00BF7D	3	3	5	0	115	2.65	3.35
#00BF7D	3	3	6	0	139	2.65	3.35
#00BF7D	3	3	7	0	140	2.65	3.35
#00B0F6	4	4	1	0	32	3.65	4.35
#00B0F6	4	4	2	0	62	3.65	4.35
#00B0F6	4	4	3	0	112	3.65	4.35
#00B0F6	4	4	4	0	167	3.65	4.35
#00B0F6	4	4	5	0	179	3.65	4.35
#00B0F6	4	4	6	0	209	3.65	4.35
#00B0F6	4	4	7	0	214	3.65	4.35
#E76BF3	5	5	1	0	30	4.65	5.35
#E76BF3	5	5	2	0	49	4.65	5.35
#E76BF3	5	5	3	0	81	4.65	5.35
#E76BF3	5	5	4	0	125	4.65	5.35
#E76BF3	5	5	5	0	142	4.65	5.35
#E76BF3	5	5	6	0	174	4.65	5.35
#E76BF3	5	5	7	0	177	4.65	5.35
